"","Sample.Label","step_id","distance","distance_abs","Effort","in_vid","in_angle","Region.Label","Area","N_pop"
"168",3,13,2.42124495709189,2.51128210471334,40,TRUE,TRUE,"Sims",10000,1952
"169",3,13,3.8781646402763,3.91049496664318,40,TRUE,TRUE,"Sims",10000,1952
"170",3,14,2.68567811192663,2.68593657603554,40,TRUE,TRUE,"Sims",10000,1952
"171",3,14,3.36198153135336,3.36514965122306,40,TRUE,TRUE,"Sims",10000,1952
"172",3,15,2.75569465548457,2.75577233910144,40,TRUE,TRUE,"Sims",10000,1952
"173",3,15,4.50845377760486,4.54932818081719,40,TRUE,TRUE,"Sims",10000,1952
"174",3,15,3.16972040685426,3.19186416574116,40,TRUE,TRUE,"Sims",10000,1952
"175",3,16,3.62104640781563,3.62110552707938,40,TRUE,TRUE,"Sims",10000,1952
"176",3,16,4.76201518059883,4.77769530076189,40,TRUE,TRUE,"Sims",10000,1952
"177",3,17,2.81075808175662,2.81083424357441,40,TRUE,TRUE,"Sims",10000,1952
"178",3,17,3.67173618451319,3.74440262879385,40,TRUE,TRUE,"Sims",10000,1952
"179",3,18,2.53796615571746,2.62803351538737,40,TRUE,TRUE,"Sims",10000,1952
"180",3,18,4.49540362074605,4.54349881069096,40,TRUE,TRUE,"Sims",10000,1952
"181",3,18,2.57593929539513,2.58390286501976,40,TRUE,TRUE,"Sims",10000,1952
"182",3,18,3.49349508186109,3.50163903398585,40,TRUE,TRUE,"Sims",10000,1952
"183",3,19,4.78989628550119,4.85004793316853,40,TRUE,TRUE,"Sims",10000,1952
"184",3,19,3.0888720477269,3.19536611499716,40,TRUE,TRUE,"Sims",10000,1952
"185",3,19,1.08038780501573,1.16216765480545,40,TRUE,TRUE,"Sims",10000,1952
"186",3,19,3.43575192138736,3.44626472059953,40,TRUE,TRUE,"Sims",10000,1952
"187",3,20,3.64696605123215,3.65662224152254,40,TRUE,TRUE,"Sims",10000,1952
"188",3,20,1.79033431301966,1.8361585452316,40,TRUE,TRUE,"Sims",10000,1952
"189",3,21,3.68881759080537,3.69011140635592,40,TRUE,TRUE,"Sims",10000,1952
"190",3,21,4.36729685554668,4.38356782058693,40,TRUE,TRUE,"Sims",10000,1952
"191",3,22,3.59522168873547,3.65196901249348,40,TRUE,TRUE,"Sims",10000,1952
"192",3,22,4.33006055804526,4.3736184052791,40,TRUE,TRUE,"Sims",10000,1952
"193",3,22,4.59325158669177,4.64704247352434,40,TRUE,TRUE,"Sims",10000,1952
"194",3,23,4.4760495232586,4.54246878001404,40,TRUE,TRUE,"Sims",10000,1952
"195",3,24,2.9617746981495,2.97293157359347,40,TRUE,TRUE,"Sims",10000,1952
"196",3,24,1.64979326736706,1.69418561097921,40,TRUE,TRUE,"Sims",10000,1952
"197",3,24,4.85731976796896,4.88021771374434,40,TRUE,TRUE,"Sims",10000,1952
"198",3,24,1.52142570217132,1.64075433007186,40,TRUE,TRUE,"Sims",10000,1952
"199",3,24,1.57801032390512,1.5860037602582,40,TRUE,TRUE,"Sims",10000,1952
"200",3,25,1.94593834512672,2.02803770813565,40,TRUE,TRUE,"Sims",10000,1952
"201",3,25,3.79629485477746,3.80199500466343,40,TRUE,TRUE,"Sims",10000,1952
"202",3,25,2.85358289797349,2.95625227783547,40,TRUE,TRUE,"Sims",10000,1952
"203",3,26,1.56361149068633,1.71605901311059,40,TRUE,TRUE,"Sims",10000,1952
"204",3,26,1.33803321706264,1.39926577605474,40,TRUE,TRUE,"Sims",10000,1952
"205",3,26,4.73930118206577,4.79079264991153,40,TRUE,TRUE,"Sims",10000,1952
"206",3,27,1.3409723287275,1.42946151791045,40,TRUE,TRUE,"Sims",10000,1952
"207",3,28,3.66927740707439,3.68711393741312,40,TRUE,TRUE,"Sims",10000,1952
"208",3,28,2.44643182832022,2.4986478911019,40,TRUE,TRUE,"Sims",10000,1952
"209",3,30,4.86348338069434,4.87071645502088,40,TRUE,TRUE,"Sims",10000,1952
"210",3,30,2.45097719989909,2.56978236608196,40,TRUE,TRUE,"Sims",10000,1952
"211",3,31,4.37808197006093,4.46914028113914,40,TRUE,TRUE,"Sims",10000,1952
"212",3,31,4.25560596748114,4.2717483880518,40,TRUE,TRUE,"Sims",10000,1952
"213",3,31,4.8713413572242,4.91905214205677,40,TRUE,TRUE,"Sims",10000,1952
"214",3,32,4.76373886985114,4.82594034305556,40,TRUE,TRUE,"Sims",10000,1952
"215",3,33,4.92917459572102,5.01455645629136,40,TRUE,TRUE,"Sims",10000,1952
"216",3,33,2.98963995676509,2.99205353554083,40,TRUE,TRUE,"Sims",10000,1952
"217",3,33,4.57783933425732,4.59634690377475,40,TRUE,TRUE,"Sims",10000,1952
"218",3,34,4.17888591394547,4.1884745271367,40,TRUE,TRUE,"Sims",10000,1952
"219",3,35,4.70872093017567,4.71723268251372,40,TRUE,TRUE,"Sims",10000,1952
"220",3,35,4.80180753737042,4.81735813829695,40,TRUE,TRUE,"Sims",10000,1952
"221",3,36,4.1362276717484,4.13721277193294,40,TRUE,TRUE,"Sims",10000,1952
"222",3,37,4.49570011639235,4.53186668372469,40,TRUE,TRUE,"Sims",10000,1952
"223",3,37,3.39615423141904,3.40307210087641,40,TRUE,TRUE,"Sims",10000,1952
"224",3,38,4.79284626057244,4.79953626327251,40,TRUE,TRUE,"Sims",10000,1952
"225",3,39,0.443494309569723,0.49368346417384,40,TRUE,TRUE,"Sims",10000,1952
"226",4,1,2.44956324844016,2.48167786152926,40,TRUE,TRUE,"Sims",10000,1952
"227",4,3,4.91991346332167,4.94309557939391,40,TRUE,TRUE,"Sims",10000,1952
"228",4,3,1.9600334645932,2.04162368835415,40,TRUE,TRUE,"Sims",10000,1952
"229",4,3,3.40084177719744,3.49309196061356,40,TRUE,TRUE,"Sims",10000,1952
"230",4,4,4.65120165847321,4.69845254178315,40,TRUE,TRUE,"Sims",10000,1952
"231",4,4,4.16840469752638,4.25541589867576,40,TRUE,TRUE,"Sims",10000,1952
"232",4,6,3.05549228061816,3.09080380242321,40,TRUE,TRUE,"Sims",10000,1952
"233",4,6,3.95665172405109,3.99769795857066,40,TRUE,TRUE,"Sims",10000,1952
"234",4,6,2.23400149708156,2.37030987724389,40,TRUE,TRUE,"Sims",10000,1952
"235",4,6,4.93252496959069,4.93321394342125,40,TRUE,TRUE,"Sims",10000,1952
